,measurement_date,nine_axis_acceleration_x,nine_axis_acceleration_y,nine_axis_acceleration_z,nine_axis_angular_velocity_x,nine_axis_angular_velocity_y,nine_axis_angular_velocity_z
40,2021-02-16 17:43:26.277000+00:00,-0.007427023,0.030687848,-0.9990625,-6.540164E-4,-8.923925E-4,-0.0026023001
41,2021-02-16 17:43:26.375000+00:00,-0.0059109945,0.023241982,-1.0004972,0.0010565756,-2.857507E-4,-0.0019865728
42,2021-02-16 17:43:26.475000+00:00,-0.008361586,0.029984958,-0.9971954,8.253197E-5,-6.986525E-4,-0.0030994923
43,2021-02-16 17:43:26.576000+00:00,-0.007244154,0.022640444,-0.9999535,8.3867816E-4,-2.5251698E-5,-0.002374551
44,2021-02-16 17:43:26.666000+00:00,-0.007911815,0.03089377,-0.9977464,-5.804867E-4,-7.011132E-4,-0.0024923002
45,2021-02-16 17:43:26.777000+00:00,-0.0056151184,0.022893121,-1.0002085,0.0010948217,-3.4526084E-4,-0.0022817324
46,2021-02-16 17:43:26.876000+00:00,-0.007648262,0.02976234,-0.99799085,-1.3809497E-4,-9.768037E-4,-0.0022145563
47,2021-02-16 17:43:26.966000+00:00,-0.007221737,0.022015216,-1.0002246,0.0010213691,-1.1932433E-4,-0.0019882922
48,2021-02-16 17:43:27.077000+00:00,-0.0074134804,0.03077516,-0.9986468,-0.001260056,-7.791733E-4,-0.0023185217
49,2021-02-16 17:43:27.176000+00:00,-0.005808941,0.024216872,-1.0003074,0.0012184295,-2.7232387E-4,-0.0018580874
50,2021-02-16 17:43:27.275000+00:00,-0.0073290607,0.029843384,-0.9986115,-0.0010413011,-9.115223E-4,-0.0029117872
51,2021-02-16 17:43:27.376000+00:00,-0.0063331677,0.023138136,-0.9993952,0.001170405,4.1529318E-5,-0.0022904766
52,2021-02-16 17:43:27.475000+00:00,-0.0068505486,0.029543089,-0.99935275,-0.001669849,-6.4830744E-4,-0.002703074
53,2021-02-16 17:43:27.575000+00:00,-0.005744761,0.023436414,-1.0001565,0.001257555,-1.2359492E-4,-0.0019873958
54,2021-02-16 17:43:27.676000+00:00,-0.006879964,0.028925903,-0.99891436,-0.0012267375,-7.576469E-4,-0.002546828
55,2021-02-16 17:43:27.778000+00:00,-0.0071262154,0.023944382,-0.9991642,0.0011622253,-2.609642E-4,-0.0018197896
56,2021-02-16 17:43:27.876000+00:00,-0.0072764987,0.028435862,-0.9993812,-0.0016659212,-9.3147263E-4,-0.0022830053
57,2021-02-16 17:43:27.976000+00:00,-0.00675208,0.024936255,-0.99934894,0.0013951292,7.587429E-5,-0.0018371835
58,2021-02-16 17:43:28.075000+00:00,-0.0068453397,0.028046027,-0.9996178,-0.0016521879,-8.4209564E-4,-0.0025197002
59,2021-02-16 17:43:28.175000+00:00,-0.006408107,0.025124388,-0.9988711,0.0010766507,1.642087E-4,-0.0022038687
60,2021-02-16 17:43:28.275000+00:00,-0.0060276,0.027220597,-0.99992555,-0.001637952,-8.651017E-4,-0.0026936226
61,2021-02-16 17:43:28.376000+00:00,-0.006080978,0.025490869,-0.99856246,0.0011253041,5.041833E-4,-0.0016886963
62,2021-02-16 17:43:28.475000+00:00,-0.006014631,0.026564004,-0.99991316,-0.0019152712,-6.034053E-4,-0.0024295172
63,2021-02-16 17:43:28.575000+00:00,-0.0064295796,0.026052287,-0.998012,0.0012346794,3.2164616E-4,-0.0020498752
64,2021-02-16 17:43:28.677000+00:00,-0.0060323128,0.026875358,-1.0002553,-0.0013474439,-5.700349E-4,-0.002451147
65,2021-02-16 17:43:28.775000+00:00,-0.006484548,0.025782926,-0.99826336,0.001185067,-8.629952E-5,-0.0018080903
66,2021-02-16 17:43:28.877000+00:00,-0.006152762,0.026162636,-1.0002769,-0.00192961,-2.7660298E-4,-0.0020296446
67,2021-02-16 17:43:28.974000+00:00,-0.0060840254,0.026353946,-0.9980778,8.331398E-4,-2.4132985E-4,-0.0017280134
68,2021-02-16 17:43:29.077000+00:00,-0.006132812,0.025896387,-0.99963915,-0.001714854,-6.9120724E-4,-0.002261599
69,2021-02-16 17:43:29.175000+00:00,-0.006419937,0.026384057,-0.9971882,0.0012908049,-1.9924584E-4,-0.0017169253
70,2021-02-16 17:43:29.275000+00:00,-0.005764158,0.025392424,-0.99925786,-0.0016187925,-5.434961E-4,-0.0023924634
71,2021-02-16 17:43:29.375000+00:00,-0.006966253,0.027743556,-0.9972121,0.00116351,2.4579378E-4,-0.0018278994
72,2021-02-16 17:43:29.476000+00:00,-0.0058861882,0.02558666,-0.9996341,-0.0013602801,-2.9205647E-4,-0.002187339
73,2021-02-16 17:43:29.577000+00:00,-0.0063950196,0.027322326,-0.9976614,0.0015715559,6.4456224E-5,-0.002088368
74,2021-02-16 17:43:29.666000+00:00,-0.005971375,0.024805497,-0.9997027,-0.0016119827,-5.965332E-4,-0.002343877
