,equip_id,run_start_date,measurement_date,block_no,evaluation_place,category,off_point,time,result,comment,sub_category
47,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:54:16.463000+00:00,C0,C0,180000,20.0,155.0,0,0,100
48,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:54:16.751000+00:00,A0,A0,180000,20.0,156.0,0,0,100
49,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:54:18.160000+00:00,E1,E1,100304,5.0,158.0,0,0,100
50,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:54:22.368000+00:00,E3,E3,100301,5.0,162.0,0,0,100
51,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:54:23.035000+00:00,E3,E3,100301,5.0,164.0,0,0,100
52,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:54:35.646000+00:00,E3,E3,100301,5.0,167.0,0,0,100
53,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:54:36.056000+00:00,E2,E2,100301,5.0,168.0,0,0,100
54,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:54:46.560000+00:00,E3,E3,180000,20.0,176.0,0,0,100
55,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:54:47.660000+00:00,A0,A0,180000,20.0,177.0,0,0,100
56,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:54:48.068000+00:00,E3,E3,180000,20.0,178.0,0,0,100
57,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:54:48.466000+00:00,E3,E3,100302,5.0,178.0,0,0,100
58,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:54:49.222000+00:00,C0,C0,600001,20.0,179.0,0,0,100
59,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:54:51.163000+00:00,E3,E3,100302,5.0,180.0,0,0,100
60,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:54:51.458000+00:00,E3,E3,100302,5.0,182.0,0,0,100
61,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:54:51.462000+00:00,C0,C0,600001,20.0,183.0,0,0,100
62,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:54:54.069000+00:00,C0,C0,130005,5.0,185.0,0,0,100
63,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:54:52.859000+00:00,C0,C0,600001,20.0,185.0,0,0,100
64,3.0,2021-02-16 17:43:22+00:00,2021-02-16 17:55:04.764000+00:00,E3,E3,100302,5.0,189.0,0,0,100
